n,blocks,ears per block,time
0,0.0,0.0,0.0
2,2.0,0.0,5.984e-05
4,4.0,0.0,0.0017951599999999996
6,5.4,0.28,0.00025931999999999995
8,6.48,0.7,0.00041892000000000003
10,6.5,1.42,0.0005402600000000002
12,5.92,3.74,0.0006582400000000003
14,5.06,6.02,0.0008599000000000001
16,4.12,9.34,0.0006582799999999998
18,3.22,14.1,0.0006782200000000002
20,2.88,19.12,0.0007778799999999997
22,2.06,26.5,0.00079786
24,1.92,33.1,0.0017951999999999994
26,1.7,39.64,0.00081774
28,1.58,47.98,0.0009574399999999997
30,1.26,60.24,0.0010366999999999993
32,1.22,68.32,0.0012566199999999993
34,1.24,79.88,0.0016215399999999988
36,1.08,90.82,0.0015358599999999991
38,1.04,102.66,0.0015952999999999991
40,1.02,118.68,0.002014959999999999
42,1.02,130.38,0.0023737799999999985
44,1.04,146.54,0.003231739999999998
46,1.02,164.7,0.0033563799999999987
48,1.02,177.72,0.0032526799999999982
50,1.0,195.52,0.0034503799999999986
52,1.0,215.86,0.004507139999999999
54,1.0,234.04,0.004548259999999998
56,1.0,254.2,0.004826959999999997
58,1.0,272.12,0.005547379999999998
60,1.0,294.08,0.006322559999999997
62,1.0,319.08,0.006961119999999999
64,1.0,344.18,0.00783896
66,1.0,366.68,0.009390219999999996
68,1.0,390.4,0.010404499999999999
70,1.0,412.5,0.011111619999999996
72,1.0,439.12,0.01398338
74,1.0,466.06,0.015560500000000001
76,1.0,489.4,0.01583958
78,1.0,529.5,0.017813940000000004
80,1.0,552.56,0.021360920000000002
82,1.0,578.22,0.02150244
84,1.0,610.84,0.028873839999999998
86,1.0,647.28,0.02545343999999999
88,1.0,677.66,0.029960519999999997
90,1.0,711.2,0.029431920000000004
92,1.0,748.38,0.030992419999999993
94,1.0,775.98,0.03370568
96,1.0,819.28,0.03568530000000002
98,1.0,850.76,0.038438019999999996
100,1.0,881.44,0.04144972000000001
102,1.0,922.56,0.044851040000000016
104,1.0,968.06,0.04799284
106,1.0,1012.18,0.05165544
108,1.0,1047.64,0.05611152
110,1.0,1090.16,0.060275539999999996
112,1.0,1129.3,0.06450489999999999
114,1.0,1182.44,0.06943766000000001
116,1.0,1212.14,0.07459554
118,1.0,1271.04,0.07848439999999998
120,1.0,1306.92,0.08276596
122,1.0,1359.46,0.08987997999999997
124,1.0,1400.86,0.09538570000000002
126,1.0,1454.98,0.10328788
128,1.0,1499.28,0.10921298
130,1.0,1558.36,0.11748803999999993
132,1.0,1595.14,0.12259096000000001
134,1.0,1656.52,0.13172236
136,1.0,1695.26,0.13807369999999997
138,1.0,1746.02,0.14470462000000003
140,1.0,1804.7,0.15342379999999997
142,1.0,1859.82,0.16304536
144,1.0,1913.68,0.17267456
146,1.0,1971.96,0.18340290000000006
148,1.0,2032.2,0.19192094000000004
150,1.0,2080.6,0.20154737999999994
152,1.0,2146.54,0.21337134000000002
154,1.0,2205.12,0.2254532799999999
156,1.0,2260.36,0.2413105999999999
158,1.0,2317.66,0.24802079999999993
160,1.0,2386.34,0.2639902399999999
162,1.0,2444.4,0.31350680000000003
164,1.0,2508.98,0.31555614000000004
166,1.0,2577.46,0.3199358
168,1.0,2634.3,0.33437278000000004
170,1.0,2700.78,0.34953034000000005
172,1.0,2777.32,0.36600437999999996
174,1.0,2838.28,0.37787912000000007
176,1.0,2911.44,0.4001867
178,1.0,2977.84,0.41861314
180,1.0,3036.1,0.4353319000000001
182,1.0,3115.86,0.4576001
184,1.0,3184.42,0.4788759
186,1.0,3261.1,0.49883846
188,1.0,3324.3,0.52212036
190,1.0,3403.34,0.5436272800000002
192,1.0,3474.9,0.5658045399999999
194,1.0,3562.64,0.5947900200000001
196,1.0,3628.48,0.61907554
198,1.0,3708.84,0.6453339
200,1.0,3776.38,0.6656505399999999
